row_type,task,readout,runs,successful_runs,failed_runs,nonfinite_failures,pre_clip_gradient_norm_mean_mean,pre_clip_gradient_norm_max_mean,clip_bind_fraction_mean,panel,finite_evaluations,nonfinite_evaluations,token_accuracy_mean,token_accuracy_std,token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,exact_sequence_accuracy_ci95,readout_feature_rms_mean,readout_feature_rms_std,readout_feature_rms_ci95,readout_feature_max_abs_mean,readout_feature_max_abs_std,readout_feature_max_abs_ci95,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_rms_ci95,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,recurrent_state_max_abs_ci95,logit_rms_mean,logit_rms_std,logit_rms_ci95,logit_max_abs_mean,logit_max_abs_std,logit_max_abs_ci95,tanh_readout_saturation_fraction_mean,tanh_readout_saturation_fraction_std,tanh_readout_saturation_fraction_ci95,contrast,metric,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,first_wins,ties,tanh_wins
arm_summary,delayed_copy,identity,20,20,0,0,2.1602816121009285,58.50210981369018,0.7641111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,tanh,20,20,0,0,1.8882056042457827,63.6414249420166,0.6896666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,relu,20,20,0,0,2.910721539421264,132.57513151168823,0.8192777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,identity,20,20,0,0,2.8329829073760373,46.71841869354248,0.954923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,tanh,20,20,0,0,2.4488660265619937,41.42464838027954,0.8954423076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,relu,20,20,0,0,2.8563099314753826,77.45923738479614,0.9320769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_panel,delayed_copy,identity,20,,,,,,,in_distribution,20,0,0.8977165350454491,0.03170263655179363,"[0.8828792444177739, 0.9125538256731244]",0.7349609375,0.07346587279102146,"[0.7005778506537252, 0.7693440243462748]",1.1463442585987766,0.10191432176820897,"[1.098646887790929, 1.1940416294066243]",9.22415750026703,1.7775485754235487,"[8.392239158860907, 10.056075841673152]",0.8684841845216635,0.016451406171275676,"[0.8607846894276715, 0.8761836796156556]",1.0,0.0,"[1.0, 1.0]",4.976427024591818,0.5772036399760654,"[4.706287405646075, 5.246566643537561]",19.608559703826906,4.589584870631209,"[17.460567864893125, 21.756551542760686]",,,,,,,,,,,,,,
evaluation_panel,delayed_copy,identity,20,,,,,,,longer_lengths,20,0,0.5923783804823977,0.032253964399226606,"[0.5772830604794643, 0.607473700485331]",0.04296875,0.018057027148475728,"[0.034517801157431305, 0.051419698842568695]",1.1780969148365028,0.10881679363728214,"[1.1271690877540335, 1.2290247419189722]",9.431096196174622,2.0127606063739707,"[8.48909523572085, 10.373097156628393]",0.885641532501912,0.01741238560329533,"[0.8774922851894633, 0.8937907798143607]",1.0,0.0,"[1.0, 1.0]",4.596785029920578,0.4369842293296385,"[4.392270115216813, 4.8012999446243425]",19.31240496635437,4.158900129103127,"[17.36597979108017, 21.25883014162857]",,,,,,,,,,,,,,
evaluation_panel,delayed_copy,identity,20,,,,,,,stress_lengths_8_10,20,0,0.3757267609058527,0.025164376057599077,"[0.36394947038237463, 0.3875040514293308]",0.00029296875,0.0007155225557275845,"[-4.190611419757997e-05, 0.00062784361419758]",1.2099224602554413,0.12186401494683316,"[1.1528883456363774, 1.266956574874505]",9.665042614936828,2.070968714285096,"[8.695799421410312, 10.634285808463344]",0.9038976200620453,0.01812717875094076,"[0.8954138392588897, 0.9123814008652009]",1.0,0.0,"[1.0, 1.0]",4.268253727101623,0.4357656029299087,"[4.064309147108973, 4.472198307094273]",19.06368522644043,4.543908500596104,"[16.93707058671596, 21.1902998661649]",,,,,,,,,,,,,,
evaluation_panel,delayed_copy,tanh,20,,,,,,,in_distribution,20,0,0.8728504782516147,0.026709185825211482,"[0.8603501945017186, 0.8853507620015107]",0.683984375,0.054920497544866234,"[0.6582807909413548, 0.7096879590586451]",0.6905999240752405,0.010986961337474354,"[0.6854578678865443, 0.6957419802639367]",0.999998864531517,2.5299549018586747e-06,"[0.9999976804761753, 1.0000000485868585]",0.8872486427577075,0.011903652864245518,"[0.881677561728241, 0.8928197237871741]",1.0,0.0,"[1.0, 1.0]",3.661657219852367,0.25792308683803716,"[3.540945499464349, 3.782368940240385]",11.286900806427003,0.9468784220134344,"[10.843748063798314, 11.730053549055691]",0.06932303292410714,0.017674524111654405,"[0.061051101013269486, 0.0775949648349448]",,,,,,,,,,,
evaluation_panel,delayed_copy,tanh,20,,,,,,,longer_lengths,20,0,0.5699494899293931,0.03359166454313446,"[0.5542281069876434, 0.5856708728711428]",0.0322265625,0.015359326477676741,"[0.025038176435568903, 0.0394149485644311]",0.7068603227254472,0.009987790303217609,"[0.7021858929752587, 0.7115347524756357]",0.9999988555908204,2.4013466362731207e-06,"[0.9999977317259998, 0.9999999794556409]",0.9021612116067637,0.011760199030354933,"[0.8966572690382139, 0.9076651541753135]",1.0,0.0,"[1.0, 1.0]",3.3223341008990412,0.2917035973881464,"[3.1858126149174146, 3.458855586880668]",11.20809760093689,1.1071704472938386,"[10.689925881243044, 11.726269320630736]",0.07261176215277777,0.018220300781662407,"[0.06408439889768949, 0.08113912540786605]",,,,,,,,,,,
evaluation_panel,delayed_copy,tanh,20,,,,,,,stress_lengths_8_10,20,0,0.37469822671086117,0.025684102706834532,"[0.3626776966281415, 0.38671875679358086]",0.00029296875,0.0007155225557275845,"[-4.190611419757997e-05, 0.00062784361419758]",0.7238397848216949,0.009765705345604715,"[0.719269294031118, 0.7284102756122718]",0.9999993652105331,1.4927207619347493e-06,"[0.9999986665957118, 1.0000000638253546]",0.9183693057587022,0.0113724449748376,"[0.9130468376742815, 0.923691773843123]",1.0,0.0,"[1.0, 1.0]",3.0634187387870617,0.34666061517657143,"[2.9011765767466784, 3.225660900827445]",11.190866661071777,1.108587961685754,"[10.67203152422121, 11.709701797922344]",0.07603402944711539,0.019583007742742485,"[0.06686889970251546, 0.08519915919171532]",,,,,,,,,,,
evaluation_panel,delayed_copy,relu,20,,,,,,,in_distribution,20,0,0.8212517089706963,0.054184135145430294,"[0.7958927531233317, 0.8466106648180609]",0.5845703125,0.09930172109690943,"[0.538095676444538, 0.631044948555462]",1.451928029420209,0.1917370071164848,"[1.3621923478462117, 1.5416637109942064]",10.120214056968688,1.2802347561659393,"[9.521045747485914, 10.719382366451462]",0.9037952178371336,0.016609565937006077,"[0.896021701694264, 0.9115687339800032]",1.0,0.0,"[1.0, 1.0]",4.1813678025046945,0.4626260212730363,"[3.964852159765045, 4.397883445244344]",16.156715059280394,3.011298866590132,"[14.747383807685832, 17.566046310874956]",,,,,,,,,,,,,,
evaluation_panel,delayed_copy,relu,20,,,,,,,longer_lengths,20,0,0.5463870830682328,0.03522769546733749,"[0.5299000140846106, 0.562874152051855]",0.0224609375,0.009724419647436077,"[0.017909769010945067, 0.027012105989054933]",1.470354601071806,0.21096219357162915,"[1.3716212552707279, 1.5690879468728842]",10.08310694694519,1.313745914691877,"[9.468254932496517, 10.697958961393862]",0.9183761803234914,0.014832272593751097,"[0.9114344630696961, 0.9253178975772868]",1.0,0.0,"[1.0, 1.0]",3.8078271406768502,0.4723956583929943,"[3.5867391670195836, 4.028915114334117]",16.156161737442016,3.1800877308639595,"[14.667834865724359, 17.644488609159673]",,,,,,,,,,,,,,
evaluation_panel,delayed_copy,relu,20,,,,,,,stress_lengths_8_10,20,0,0.38014014000898333,0.02657402883330111,"[0.36770311167842945, 0.3925771683395372]",0.000390625,0.0008015455875665267,"[1.549011761803554e-05, 0.0007657598823819646]",1.4773194298100891,0.23371378649298813,"[1.3679380107528556, 1.5867008488673227]",10.244818711280823,1.4426734170752036,"[9.569626768333254, 10.920010654228392]",0.9339050827023615,0.013078834384650405,"[0.9277839997911892, 0.9400261656135338]",1.0,0.0,"[1.0, 1.0]",3.5650992400973154,0.46649790069619934,"[3.346771502007712, 3.783426978186919]",16.35456337928772,2.780623281366137,"[15.053191624786903, 17.655935133788535]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,,,,,,,in_distribution,20,0,0.8053538970147462,0.04297825419722102,"[0.7852394548877493, 0.8254683391417432]",0.36953125,0.11489954002029339,"[0.315756609979694, 0.42330589002030594]",1.3062265555478412,0.07742078520778857,"[1.2699925127143978, 1.3424605983812845]",12.017028522491454,2.845437728296974,"[10.685322673082988, 13.348734371899921]",0.8595548532542321,0.021394830992806025,"[0.8495417641267192, 0.869567942381745]",1.0,0.0,"[1.0, 1.0]",5.276289775900447,0.6008317541390759,"[4.995091859129925, 5.5574876926709695]",27.010124683380127,8.288993692291543,"[23.130756220679242, 30.889493146081012]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,,,,,,,longer_lengths,20,0,0.5254116510116653,0.016834969010743522,"[0.5175326429830357, 0.5332906590402949]",0.003125,0.0029991089685543534,"[0.001721373796298949, 0.004528626203701052]",1.3113417516313401,0.07845364456900744,"[1.2746243157370425, 1.3480591875256378]",12.060981464385986,2.829253778806964,"[10.736849936491586, 13.385112992280385]",0.8705486988892943,0.021223635904787305,"[0.8606157315292822, 0.8804816662493065]",1.0,0.0,"[1.0, 1.0]",4.778512106529193,0.5463756771259363,"[4.522800418317831, 5.034223794740554]",26.996183013916017,8.19322216122094,"[23.16163700748089, 30.830729020351143]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,,,,,,,fixed_block_length_3,20,0,0.7373779296875,0.03975489396865103,"[0.7187720665845488, 0.7559837927904512]",0.1447265625,0.062498875658061184,"[0.11547618830709624, 0.17397693669290373]",1.3204278751349459,0.07411899348899761,"[1.2857391183928883, 1.3551166318770034]",12.167409372329711,2.8364764749115365,"[10.839897518605191, 13.494921226054231]",0.8606000176185673,0.02119674826054832,"[0.8506796340634137, 0.8705204011737209]",1.0,0.0,"[1.0, 1.0]",5.151987225204519,0.5837972096363637,"[4.878761720668035, 5.425212729741003]",27.691245460510252,8.874700468820704,"[23.537757788457036, 31.84473313256347]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,,,,,,,fixed_block_length_4,20,0,0.57410888671875,0.01968782407132186,"[0.5648947014223471, 0.583323072015153]",0.008447265625,0.0037792231639333556,"[0.006678534739210342, 0.010215996510789659]",1.3219611926982704,0.0776914661090474,"[1.2856004673034955, 1.3583219180930453]",12.201118898391723,2.841147963417469,"[10.871420720747011, 13.530817076036435]",0.8662205242789056,0.02135352692637769,"[0.8562267660495249, 0.8762142825082864]",1.0,0.0,"[1.0, 1.0]",4.871176091703244,0.5423376728289682,"[4.617354247676042, 5.1249979357304465]",27.64868507385254,8.937453477994088,"[23.465828089460096, 31.831542058244985]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,identity,20,,,,,,,stress_fixed_block_length_6,20,0,0.427294921875,0.01453023052399389,"[0.4204945646611954, 0.43409527908880463]",0.0,0.0,"[0.0, 0.0]",1.3211845950134775,0.08205323172338864,"[1.282782500473772, 1.359586689553183]",12.12374038696289,2.8277087659136497,"[10.800331947360663, 13.447148826565117]",0.8743131673911001,0.02154297857131211,"[0.8642307430625704, 0.8843955917196298]",1.0,0.0,"[1.0, 1.0]",4.559498653423213,0.5036044146728622,"[4.323804532220578, 4.795192774625848]",27.090517616271974,8.632047596085355,"[23.05059498441763, 31.13044024812632]",,,,,,,,,,,,,,
evaluation_panel,two_palindrome,tanh,20,,,,,,,in_distribution,20,0,0.7954104938075884,0.0501256011443847,"[0.7719509903416507, 0.8188699972735262]",0.3328125,0.12565745072169418,"[0.27400300278847944, 0.3916219972115206]",0.6902225903917759,0.01346341118400206,"[0.6839215199981329, 0.6965236607854189]",0.9999999940395355,1.834592256698288e-08,"[0.9999999854533795, 1.0000000026256917]",0.8696064620160122,0.01864116355796509,"[0.8608821289184891, 0.8783307951135353]",1.0,0.0,"[1.0, 1.0]",3.8534288581572356,0.24303520673486254,"[3.739684880138528, 3.9671728361759433]",11.68331069946289,1.0681926805374895,"[11.18338113614102, 12.18324026278476]",0.066686767578125,0.01402982639016792,"[0.060120606707982104, 0.07325292844826789]",,,,,,,,,,,
evaluation_panel,two_palindrome,tanh,20,,,,,,,longer_lengths,20,0,0.5166896720236741,0.022385803005081483,"[0.5062127937180593, 0.5271665503292889]",0.003125,0.0046737737626259285,"[0.0009376065467523154, 0.0053123934532476845]",0.7012260257638511,0.014472394118951284,"[0.6944527368208219, 0.7079993147068803]",0.9999999970197677,1.3328003749250112e-08,"[0.9999999907820699, 1.0000000032574654]",0.8811051506927877,0.019307538720242417,"[0.8720689444192398, 0.8901413569663357]",1.0,0.0,"[1.0, 1.0]",3.433897500326438,0.26150395973431195,"[3.3115098798354112, 3.556285120817465]",11.815731573104859,1.0287762044225295,"[11.334249488455022, 12.297213657754696]",0.06588933328557352,0.012526965952275896,"[0.060026532751199846, 0.07175213381994719]",,,,,,,,,,,
evaluation_panel,two_palindrome,tanh,20,,,,,,,fixed_block_length_3,20,0,0.726904296875,0.04848736346469996,"[0.7042115122442917, 0.7495970815057084]",0.12958984375,0.056618554995813336,"[0.10309154434138602, 0.15608814315861394]",0.6907311438886732,0.01374434607461162,"[0.6842985919189594, 0.697163695858387]",1.0,0.0,"[1.0, 1.0]",0.8698279429361666,0.01920601282799056,"[0.8608392522428169, 0.8788166336295163]",1.0,0.0,"[1.0, 1.0]",3.763084968853663,0.2377391359924744,"[3.6518196282398026, 3.874350309467524]",11.999563789367675,1.0509436721782193,"[11.507707010454368, 12.491420568280983]",0.06606640625,0.010714366828520587,"[0.06105192821860457, 0.07108088428139543]",,,,,,,,,,,
evaluation_panel,two_palindrome,tanh,20,,,,,,,fixed_block_length_4,20,0,0.56591796875,0.027944771488147477,"[0.5528394131094863, 0.5789965243905137]",0.007666015625,0.005032402253307394,"[0.005310778871561423, 0.010021252378438577]",0.6963793573595014,0.014513405480278846,"[0.6895868745085441, 0.7031718402104588]",1.0,0.0,"[1.0, 1.0]",0.8756285230998606,0.019573794465209456,"[0.8664677053018764, 0.8847893408978448]",1.0,0.0,"[1.0, 1.0]",3.5197073425972327,0.24421332169963014,"[3.405411989802597, 3.6340026953918683]",11.996088361740112,1.109467525226784,"[11.476841576480982, 12.515335146999242]",0.06580632527669271,0.011481497902086671,"[0.0604328188512574, 0.07117983170212802]",,,,,,,,,,,
