row_type,task,arm,seeds,final_in_distribution_accuracy_mean,final_in_distribution_accuracy_std,final_in_distribution_exact_sequence_accuracy_mean,final_in_distribution_exact_sequence_accuracy_std,longer_length_accuracy_mean,longer_length_accuracy_std,longer_length_exact_sequence_accuracy_mean,longer_length_exact_sequence_accuracy_std,runtime_seconds_mean,runtime_seconds_std,threshold_0_90_successes,threshold_0_90_step_mean_reached,threshold_0_90_step_std_reached,threshold_0_99_successes,threshold_0_99_step_mean_reached,threshold_0_99_step_std_reached,panel,token_accuracy_mean,token_accuracy_std,token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,exact_sequence_accuracy_ci95,metric,first_arm,second_arm,role,mean_difference,std_difference,ci95,first_wins,ties,second_wins
arm_summary,delayed_copy,tapped_post_tanh,20,0.8717781808729276,0.03813377941859506,0.6818359375,0.07407767712788821,0.5814140904971131,0.033654565166486884,0.039453125,0.014500001772345627,23.45512240291573,0.2809415203192844,7,1542.857142857143,228.99885630822743,0,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,tapped_pre_tanh_relu,20,0.8696591215075719,0.023628711329120637,0.6791015625,0.05156242212414374,0.5851490918583522,0.023160005600551502,0.0375,0.013376448673390188,23.838570973474997,0.27650667567700704,3,1475,198.4313483298443,0,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,forked,20,0.8977165350454491,0.03170263655179363,0.7349609375,0.07346587279102146,0.5937367477041866,0.0314835492932621,0.0498046875,0.016663427205393277,23.38467445555143,0.2229376441701155,15,1435,120.19329669922766,0,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,tapped_post_tanh,20,0.7592682021145001,0.04056924326627572,0.23984375,0.10085947214262109,0.5021370183826149,0.020159024901040358,0.001953125,0.0029722105869245397,49.73963989814511,0.45664243659806425,0,,,0,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,tapped_pre_tanh_relu,20,0.7462361610407073,0.03765370544840317,0.2345703125,0.0800590678543232,0.4857216909345989,0.023274609552929985,0.0015625,0.0019633776951173227,50.882052790938175,0.3753165148767535,0,,,0,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,forked,20,0.8053538970147462,0.04297825419722102,0.36953125,0.11489954002029339,0.5228804581927058,0.01554476014415677,0.0037109375,0.004985555564694001,49.83302915710956,0.31118302236248063,1,2575,0.0,0,,,,,,,,,,,,,,,,,,,
evaluation_panel,delayed_copy,tapped_post_tanh,20,,,,,,,,,,,,,,,,,in_distribution,0.8717781808729276,0.03813377941859506,"[0.8539310227338565, 0.8896253390119987]",0.6818359375,0.07407767712788821,"[0.6471665174101626, 0.7165053575898375]",,,,,,,,,,
evaluation_panel,delayed_copy,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,in_distribution,0.8696591215075719,0.023628711329120637,"[0.8586005442004497, 0.880717698814694]",0.6791015625,0.05156242212414374,"[0.6549696061160913, 0.7032335188839086]",,,,,,,,,,
evaluation_panel,delayed_copy,forked,20,,,,,,,,,,,,,,,,,in_distribution,0.8977165350454491,0.03170263655179363,"[0.8828792444177739, 0.9125538256731244]",0.7349609375,0.07346587279102146,"[0.7005778506537252, 0.7693440243462748]",,,,,,,,,,
evaluation_panel,delayed_copy,tapped_post_tanh,20,,,,,,,,,,,,,,,,,longer_lengths,0.5814140904971131,0.033654565166486884,"[0.5656632691574618, 0.5971649118367645]",0.039453125,0.014500001772345627,"[0.032666915277454814, 0.04623933472254518]",,,,,,,,,,
evaluation_panel,delayed_copy,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,longer_lengths,0.5851490918583522,0.023160005600551502,"[0.574309875584571, 0.5959883081321333]",0.0375,0.013376448673390188,"[0.03123962931414162, 0.04376037068585838]",,,,,,,,,,
evaluation_panel,delayed_copy,forked,20,,,,,,,,,,,,,,,,,longer_lengths,0.5937367477041866,0.0314835492932621,"[0.5790019930697667, 0.6084715023386065]",0.0498046875,0.016663427205393277,"[0.042005963507577286, 0.057603411492422714]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_post_tanh,20,,,,,,,,,,,,,,,,,in_distribution,0.7592682021145001,0.04056924326627572,"[0.7402812118084041, 0.778255192420596]",0.23984375,0.10085947214262109,"[0.19264006401353215, 0.2870474359864678]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,in_distribution,0.7462361610407073,0.03765370544840317,"[0.7286136844358324, 0.7638586376455823]",0.2345703125,0.0800590678543232,"[0.1971015153797756, 0.2720391096202244]",,,,,,,,,,
evaluation_panel,two_palindrome,forked,20,,,,,,,,,,,,,,,,,in_distribution,0.8053538970147462,0.04297825419722102,"[0.7852394548877493, 0.8254683391417432]",0.36953125,0.11489954002029339,"[0.315756609979694, 0.42330589002030594]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_post_tanh,20,,,,,,,,,,,,,,,,,longer_lengths,0.5021370183826149,0.020159024901040358,"[0.4927023043095876, 0.5115717324556422]",0.001953125,0.0029722105869245397,"[0.0005620876264110328, 0.0033441623735889674]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,longer_lengths,0.4857216909345989,0.023274609552929985,"[0.4748288383600722, 0.49661454350912554]",0.0015625,0.0019633776951173227,"[0.000643610953445204, 0.002481389046554796]",,,,,,,,,,
evaluation_panel,two_palindrome,forked,20,,,,,,,,,,,,,,,,,longer_lengths,0.5228804581927058,0.01554476014415677,"[0.5156052865009271, 0.5301556298844845]",0.0037109375,0.004985555564694001,"[0.0013776256717254725, 0.006044249328274527]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_post_tanh,20,,,,,,,,,,,,,,,,,fixed_block_length_3,0.6911946614583333,0.03865713996668685,"[0.6731025630430044, 0.7092867598736622]",0.08466796875,0.046764685675750754,"[0.06278142214213628, 0.10655451535786373]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,fixed_block_length_3,0.6798990885416667,0.03632800295251028,"[0.662897059803494, 0.6969011172798394]",0.07763671875,0.03479820993830814,"[0.06135065518131162, 0.09392278231868838]",,,,,,,,,,
evaluation_panel,two_palindrome,forked,20,,,,,,,,,,,,,,,,,fixed_block_length_3,0.7380940755208333,0.039246786764041745,"[0.7197260139096441, 0.7564621371320225]",0.151220703125,0.05976780433736176,"[0.12324850965513877, 0.1791928965948612]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_post_tanh,20,,,,,,,,,,,,,,,,,fixed_block_length_4,0.55115966796875,0.023048617920660864,"[0.5403725827338552, 0.5619467532036448]",0.00478515625,0.003321521645160256,"[0.003230636268835579, 0.006339676231164422]",,,,,,,,,,
evaluation_panel,two_palindrome,tapped_pre_tanh_relu,20,,,,,,,,,,,,,,,,,fixed_block_length_4,0.53734130859375,0.0206903313937266,"[0.527657935427922, 0.5470246817595779]",0.003564453125,0.0013910265973744742,"[0.002913432637718049, 0.004215473612281951]",,,,,,,,,,
evaluation_panel,two_palindrome,forked,20,,,,,,,,,,,,,,,,,fixed_block_length_4,0.57530517578125,0.019988437152302148,"[0.5659502992321905, 0.5846600523303094]",0.008203125,0.003936968035284928,"[0.0063605672418792425, 0.010045682758120757]",,,,,,,,,,
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.025938354172521584,0.042981815047288416,"[0.005822245516393983, 0.04605446282864918]",12,2,6
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.002119059365355752,0.038928551819674174,"[-0.020338182437955318, 0.016100063707243813]",9,0,11
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.028057413537877336,0.03817048835177203,"[0.010193075089235209, 0.04592175198651946]",15,0,5
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.053125,0.08607196418167826,"[0.012842080774275184, 0.0934079192257248]",13,0,7
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.002734375,0.0764531223949089,"[-0.038515537696460704, 0.03304678769646071]",11,0,9
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.055859375,0.0880889119253614,"[0.014632495173239071, 0.09708625482676093]",15,0,5
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.012322657207073434,0.04702244654496758,"[-0.009684525200994604, 0.03432983961514147]",12,0,8
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,0.003735001361239015,0.04357823857062757,"[-0.01666024209613793, 0.024130244818615962]",10,0,10
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.00858765584583442,0.034864252773688216,"[-0.007729316721252533, 0.024904628412921372]",11,0,9
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.0103515625,0.02083536773921029,"[0.0006003102350314628, 0.020102814764968537]",13,2,5
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.001953125,0.02207890748743732,"[-0.012286371782092275, 0.008380121782092275]",10,0,10
paired_comparison,delayed_copy,,20,,,,,,,,,,,,,,,,,longer_lengths,,,,,,,exact_sequence_accuracy,forked,tapped_pre_tanh_relu,secondary,0.0123046875,0.01766471727280471,"[0.004037345331025422, 0.020572029668974576]",13,2,5
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,forked,tapped_post_tanh,primary,0.04608569490024622,0.04293902330089625,"[0.02598961339790594, 0.0661817764025865]",17,1,2
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,tapped_pre_tanh_relu,tapped_post_tanh,secondary,-0.013032041073792749,0.04949322957085942,"[-0.036195585533111384, 0.010131503385525884]",7,0,13
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,token_accuracy,forked,tapped_pre_tanh_relu,secondary,0.05911773597403897,0.0452828364253826,"[0.03792471616348735, 0.0803107557845906]",17,0,3
paired_comparison,two_palindrome,,20,,,,,,,,,,,,,,,,,in_distribution,,,,,,,exact_sequence_accuracy,forked,tapped_post_tanh,primary,0.1296875,0.12137263619710256,"[0.07288335771481769, 0.18649164228518234]",17,0,3
