task,arm,seeds,final_in_distribution_accuracy_mean,final_in_distribution_accuracy_std,longer_length_accuracy_mean,longer_length_accuracy_std,runtime_seconds_mean,runtime_seconds_std,threshold_0_90_successes,threshold_0_90_step_mean_reached,threshold_0_90_step_std_reached,threshold_0_99_successes,threshold_0_99_step_mean_reached,threshold_0_99_step_std_reached
delayed_copy,tapped_post_tanh,5,0.8377913409045206,0.05887335118955737,0.5605880706799883,0.047277305924447545,22.27958923764527,0.2704144137506562,1,1325,0.0,0,,
delayed_copy,tapped_pre_tanh_relu,5,0.8677525823219311,0.02664560612715732,0.5958064266596518,0.022260984961605303,22.425841831462456,0.40885833816620076,1,1250,0.0,0,,
delayed_copy,forked,5,0.8840039509160649,0.0480049218730341,0.5845065640201379,0.04630545094907361,22.34156231158413,0.30695285285818885,3,1500,114.564392373896,0,,
two_palindrome,tapped_post_tanh,5,0.747807871599257,0.015197164145173744,0.5004982777375591,0.015322831484738387,46.39448794219643,1.4161569633909599,0,,,0,,
two_palindrome,tapped_pre_tanh_relu,5,0.7314400084175839,0.038336719227008,0.48515058778521125,0.026380037261663197,47.04302956438623,0.8585454704351604,0,,,0,,
two_palindrome,forked,5,0.8151380222636325,0.041375700340569734,0.5308318492410433,0.02024536415545593,45.659865102428014,0.7185609967425955,0,,,0,,
