row_type,task,init_mode,clip_mode,activation,runs,successful_runs,failed_runs,nonfinite_failures,failure_steps,gradient_norm_mean,gradient_norm_max_mean,clip_bind_fraction_mean,panel,finite_evaluations,nonfinite_evaluations,token_accuracy_mean,token_accuracy_std,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,logit_rms_mean,logit_rms_std,logit_max_abs_mean,logit_max_abs_std,contrast,metric,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,identity_wins,ties,tanh_wins
evaluation_panel,delayed_copy,identity,no_clip,identity,20,,,,,,,,longer_lengths,20,0,0.4487297133363309,0.025991357121842064,0.0064453125,0.008142200132995785,4.235048643299768,1.5975160468896399,62.29217376708984,42.82662139480345,3.5219908710672945,0.8187323536827186,32.51907482147217,8.550482580489232,,,,,,,,,,,
evaluation_panel,delayed_copy,identity,no_clip,identity,20,,,,,,,,stress_lengths_8_10,20,0,0.21675741331537562,0.031513968197027314,0.0,0.0,21.189977476525293,14.816483649746802,441.44559478759766,384.0120160156733,20.764280595457606,6.38408823367836,245.66243934631348,90.77032429505678,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,tanh,20,,,,,,,,in_distribution,20,0,0.9289051692936537,0.023030518900565726,0.819140625,0.050901300403943514,0.7656320401936267,0.022535841092246958,0.9999999403953552,1.3674243323240385e-07,4.106068139171245,0.3485770887786621,16.111220932006837,1.9412095451280609,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,tanh,20,,,,,,,,longer_lengths,20,0,0.5172757471294767,0.0362424959307978,0.0330078125,0.013380950759793555,0.7776618807900166,0.0246822706821808,0.999999949336052,1.0640459360171349e-07,3.9981169693960705,0.34573766423624225,15.979247856140137,1.8181467996988914,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,tanh,20,,,,,,,,stress_lengths_8_10,20,0,0.30136475188001377,0.030045943105189224,0.0,0.0,0.792628394999436,0.025199208739578503,0.9999999850988388,3.278968359352236e-08,4.032432364478717,0.43072461916319327,17.325802612304688,1.8885027323830474,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,identity,20,,,,,,,,in_distribution,20,0,0.9822246096071688,0.008083841517296146,0.948828125,0.02287917774440044,4.5062593623201135,0.48395790632635743,43.58742084503174,7.388108750355533,7.214926979454146,0.9609045639452354,52.322312355041504,9.455191340571696,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,identity,20,,,,,,,,longer_lengths,20,0,0.5388812127746322,0.028381938676206007,0.08515625,0.030247063798343347,7.7186414142360364,1.3980039547158398,102.49775009155273,36.20616761187609,11.566865353769375,2.1836320076236966,105.80879859924316,38.92649725886831,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,clip_1.0,identity,20,,,,,,,,stress_lengths_8_10,20,0,0.2663265963181551,0.026062009941028974,0.0,0.0,32.206325119117416,16.407453139661,663.8332534790039,382.5412664030833,46.033209462493254,21.43313941778055,667.8065185546875,403.91428244850954,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,no_clip,tanh,20,,,,,,,,in_distribution,20,0,0.9175670611494467,0.030931557367160353,0.791796875,0.06993571376946173,0.7559778295578935,0.02879431088974293,0.9999999135732651,1.3040812637879056e-07,3.8863879828641186,0.29235955739550157,15.044763994216918,2.511150890453813,,,,,,,,,,,
evaluation_panel,delayed_copy,orthogonal,no_clip,tanh,20,,,,,,,,longer_lengths,20,0,0.5128356868257027,0.03766233758731306,0.0328125,0.014304838072125698,0.7692392839368865,0.028935816858629292,0.9999999701976776,5.296011666289797e-08,3.779420713856062,0.27698261811215386,15.968410730361938,2.8639683187505196,,,,,,,,,,,
