row_type,task,activation,runs,successful_runs,failed_runs,nonfinite_failures,threshold_0_90_successes,threshold_0_90_step_mean_reached,threshold_0_99_successes,threshold_0_99_step_mean_reached,pre_clip_gradient_norm_mean_mean,pre_clip_gradient_norm_mean_std,pre_clip_gradient_norm_max_mean,pre_clip_gradient_norm_max_std,clip_bind_fraction_mean,clip_bind_fraction_std,runtime_seconds_mean,panel,token_accuracy_mean,token_accuracy_std,token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_std,exact_sequence_accuracy_ci95,recurrent_state_rms_mean,recurrent_state_rms_std,recurrent_state_rms_ci95,recurrent_state_max_abs_mean,recurrent_state_max_abs_std,recurrent_state_max_abs_ci95,logit_rms_mean,logit_rms_std,logit_rms_ci95,logit_max_abs_mean,logit_max_abs_std,logit_max_abs_ci95,comparison_type,metric,baseline,paired_seeds,seed_ids,differences_by_seed,mean_difference,std_difference,ci95,activation_wins,ties,tanh_wins,both_success,activation_only_success,tanh_only_success,neither_success,joint_success_seed_ids
arm_summary,delayed_copy,tanh,20,20,0,0,15,1435,0,,2.1602816121009285,0.535003174883038,58.50210981369018,37.488144999492086,0.7641111111111111,0.07733087984277665,24.952435751009034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,relu,20,20,0,0,20,1153.75,0,,13.01340247799484,4.002792584022914,4765.9531921386715,2866.2220965749448,0.8991388888888889,0.0042328083664001,24.602423403394642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,identity,20,20,0,0,20,1131.25,0,,12.218163747992323,6.68907298867472,7406.613977050782,6244.801032123706,0.8979444444444444,0.0037250360316776732,23.939479324262358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,delayed_copy,softsign,20,20,0,0,4,1768.75,0,,1.834065303045692,0.5471183810669495,75.47440919876098,51.027506274740674,0.6226666666666667,0.1402599693403297,26.307792188849998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,tanh,20,20,0,0,1,2575,0,,2.8329829073760373,0.27771922468850213,46.71841869354248,27.847490552229754,0.954923076923077,0.03379772022260386,52.17147621055483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,relu,20,20,0,0,6,2412.5,0,,7.558953538125524,0.8292594609203505,410.40783462524416,202.66577078125894,0.9976538461538461,0.0009412846632081757,51.698983085883086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,identity,20,20,0,0,20,1427.5,4,2293.75,5.133603892630682,0.4952354954406762,420.54850006103516,240.40738719776704,0.9974807692307692,0.0016340496758652455,50.3666925148631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm_summary,two_palindrome,softsign,20,20,0,0,0,,0,,2.175112606078386,0.32036441297717605,52.963894271850585,32.03946946778024,0.8014615384615384,0.07845504855274305,55.36434270174941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_panel,delayed_copy,tanh,20,20,,,,,,,,,,,,,,in_distribution,0.8977165350454491,0.03170263655179363,"[0.8828794149376124, 0.9125536551532859]",0.7349609375,0.07346587279102146,"[0.700578245806625, 0.7693436291933751]",0.8684841845216635,0.016451406171275676,"[0.8607847779153, 0.8761835911280271]",1.0,0.0,"[1.0, 1.0]",4.976427024591818,0.5772036399760654,"[4.706290510267083, 5.246563538916552]",19.608559703826906,4.589584870631209,"[17.46059255101882, 21.75652685663499]",,,,,,,,,,,,,,,,,
evaluation_panel,delayed_copy,tanh,20,20,,,,,,,,,,,,,,longer_lengths,0.5937367477041866,0.0314835492932621,"[0.5790021624111946, 0.6084713329971786]",0.0498046875,0.016663427205393277,"[0.04200605313560904, 0.05760332186439096]",0.8857948837296189,0.01718112027921382,"[0.8777539643331069, 0.8938358031261309]",1.0,0.0,"[1.0, 1.0]",4.607170611925149,0.4389721462154143,"[4.40172768459157, 4.812613539258727]",19.493455553054808,4.754361838553649,"[17.268371291703517, 21.7185398144061]",,,,,,,,,,,,,,,,,
