t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,158.8720662997578,1.6655552093462958,6388.249648921817,100000.0,0.009999999776482582,1.405738115310669,1.0
1,160.22652125424312,1290633.3854236118,10132.016772395742,100000.0,0.009999999776482582,4.81203556060791,0.75
2,164.69132118650867,1161.3627774040115,11955.9775487753,100000.0,0.009999999776482582,3.550910234451294,1.0
3,148.4265378266173,1146692.932601863,10876.20611781487,100000.0,0.009999999776482582,1.7454335689544678,0.75
4,159.96677830490378,1125036.2570528095,12955.830506704704,100000.0,0.009999999776482582,3.056563377380371,0.75
5,162.1039060175236,1446547.204802076,11964.015010016696,100000.0,0.009999999776482582,2.4710006713867188,0.75
6,169.18513478405663,1552877.0024951743,11972.632746374045,100000.0,0.009999999776482582,3.3281166553497314,0.25
7,157.5809867346073,1281004.7864296185,12862.224375599508,100000.0,0.009999999776482582,1.6061592102050781,0.75
8,167.2567908932361,696573.198149277,11756.442280894917,100000.0,0.009999999776482582,2.8406243324279785,1.0
9,164.35658810312,1861537.5031163068,13549.108761294296,100000.0,0.009999999776482582,6.221582889556885,0.5
10,158.1523835369662,1329247.9862957373,12877.952317684643,100000.0,0.009999999776482582,5.283326148986816,0.5
11,161.95770124267077,995699.6785345536,12408.1305657255,100000.0,0.009999999776482582,2.3292627334594727,0.75
12,167.08106524756522,2144422.2356982077,14214.994052807851,100000.0,0.009999999776482582,3.664638042449951,0.25
13,160.2379797686007,287397.2487007287,10590.423941267098,100000.0,0.009999999776482582,1.7702202796936035,1.0
14,155.5464191925607,1082618.4012477032,15247.491750158395,100000.0,0.009999999776482582,1.1345230340957642,0.75
15,160.39245908318435,334410.11908531527,13056.812591650658,100000.0,0.009999999776482582,2.55369234085083,1.0
16,168.59395736481832,1905450.7929832092,10615.194845273578,100000.0,0.009999999776482582,2.8720202445983887,0.5
17,154.93983186450632,463.10528291106334,13973.81421558074,100000.0,0.009999999776482582,1.7622767686843872,1.0
18,163.19245591403487,896246.7941308639,12823.956890342495,100000.0,0.009999999776482582,3.032423496246338,0.75
19,163.53615729466262,669631.1888503961,12487.553590094409,100000.0,0.009999999776482582,2.217637062072754,0.75
20,162.2269363231839,237438.2158299024,15527.276290727921,100000.0,0.009999999776482582,2.3343915939331055,1.0
21,162.79065978190258,2193409.134660369,7418.755442934408,100000.0,0.009999999776482582,4.283552169799805,0.75
22,171.15047806912781,2488924.677647616,10935.872605081862,100000.0,0.009999999776482582,5.914319038391113,0.25
23,168.96214834110907,2134071.406969592,14840.303593957797,100000.0,0.009999999776482582,3.099684715270996,0.25
24,159.76732979193693,1020598.4934609336,13522.734195945553,100000.0,0.009999999776482582,2.3629753589630127,0.75
25,167.6110397680975,1516695.8442976838,14970.920245809824,100000.0,0.009999999776482582,3.3827757835388184,0.5
26,165.75773792415296,1260938.5976920633,8092.869870315076,100000.0,0.009999999776482582,2.7864785194396973,0.75
27,167.51172189405847,2057665.197726945,9675.481714106867,100000.0,0.009999999776482582,3.693525791168213,0.5
28,159.48079389302185,1332701.7132115625,13857.237669165102,100000.0,0.009999999776482582,2.433311700820923,0.75
29,161.7126960760596,783451.1686661944,14720.469723455675,100000.0,0.009999999776482582,2.0847268104553223,0.75
30,161.39789710431484,1517720.3241301663,15433.729695880504,100000.0,0.009999999776482582,3.5709829330444336,0.5
31,156.0880556482191,447414.4507809727,13816.403298758818,100000.0,0.009999999776482582,1.20219087600708,0.75
32,167.66217872050544,765159.4957566967,11795.157541614632,100000.0,0.009999999776482582,4.727015495300293,0.75
33,166.26524612361004,1909174.04412234,13446.957630247009,100000.0,0.009999999776482582,4.097261905670166,0.5
34,166.56687838818763,2053163.1728015854,10167.130895299362,100000.0,0.009999999776482582,3.641561508178711,0.5
35,162.9585156666312,1129547.7725148369,13737.074898752708,100000.0,0.009999999776482582,1.7506824731826782,0.5
36,165.32177842829086,2128529.3541593268,13189.689168892613,100000.0,0.009999999776482582,2.9347758293151855,0.5
37,156.52055844385902,512065.054699904,18050.724343257014,100000.0,0.009999999776482582,1.6412767171859741,1.0
38,157.96125077295278,1441892.7574246668,14312.367905710482,100000.0,0.009999999776482582,4.051274299621582,0.75
39,172.71644507665206,2835229.7122688205,8581.135305963873,100000.0,0.009999999776482582,5.072277069091797,0.25
40,163.77699755336965,1715379.8809187976,14404.93739867168,100000.0,0.009999999776482582,2.684676170349121,0.5
41,164.70159958168398,1926739.7221618032,9772.948011998214,100000.0,0.009999999776482582,3.0923967361450195,0.5
42,170.38016211495543,1835525.9955644556,8327.932286208077,100000.0,0.009999999776482582,5.222251892089844,0.75
43,162.37694543164233,1463104.3294215659,10853.771000237837,100000.0,0.009999999776482582,3.2653658390045166,0.75
44,159.08897221779606,1730662.426969666,13740.710006592935,100000.0,0.009999999776482582,2.392744541168213,0.75
45,164.3939291274184,1651099.7946948598,10299.930393747802,100000.0,0.009999999776482582,3.7468090057373047,0.5
46,168.10598667198397,1862705.433889951,10781.86639569496,100000.0,0.009999999776482582,3.369556427001953,0.5
47,156.4598417922315,17.58550124937481,11558.866316468137,100000.0,0.009999999776482582,1.1838186979293823,1.0
48,162.9047693029405,1754893.5740932536,10893.133995007634,100000.0,0.009999999776482582,3.6125645637512207,0.5
49,155.81585393232663,1287839.194414032,13564.16679506142,100000.0,0.009999999776482582,2.650623321533203,0.75
50,159.99934524848268,351672.24058260734,14348.579272372435,100000.0,0.009999999776482582,4.620077133178711,1.0
51,156.77833905543878,319474.5928517537,13175.417201429009,100000.0,0.009999999776482582,1.6926305294036865,1.0
52,161.6405309217759,992043.807488418,12671.552285930353,100000.0,0.009999999776482582,3.316253662109375,0.75
53,164.17496469853677,1426450.8385223723,15684.227948462558,100000.0,0.009999999776482582,1.7496452331542969,0.75
54,173.11881442708344,2752952.571260738,9211.15097449656,100000.0,0.009999999776482582,5.468654632568359,0.25
55,163.21657052813495,219813.96511926258,11770.391613953292,100000.0,0.009999999776482582,3.993928909301758,1.0
56,162.58749032494555,1993319.9153125354,7781.8270332483335,100000.0,0.009999999776482582,4.898707389831543,0.75
57,165.38671840699348,2922110.2282361165,9196.275980801747,100000.0,0.009999999776482582,4.952053070068359,0.25
58,151.2112374223175,70219.39314142396,13918.537057130872,100000.0,0.009999999776482582,4.980965614318848,1.0
59,159.16327445682822,2193338.485898332,10357.373842163017,100000.0,0.009999999776482582,2.802147626876831,0.5
60,166.77589974480188,806738.0248750651,12652.593936370935,100000.0,0.009999999776482582,6.30700159072876,0.75
61,152.38498853104235,89.90591506567388,11090.583241708957,100000.0,0.009999999776482582,2.869405508041382,1.0
62,153.56914730045276,1615682.0383669548,10042.94861413638,100000.0,0.009999999776482582,3.2966718673706055,0.75
63,169.39879077740304,1383116.540767801,12138.697235608877,100000.0,0.009999999776482582,10.033178329467773,0.5
64,156.33980211095778,766360.6456023044,13908.691998690505,100000.0,0.009999999776482582,3.7024941444396973,0.75
65,158.73366869572084,1428677.8546205028,14202.19392518014,100000.0,0.009999999776482582,3.724296808242798,0.5
66,162.93278588783386,2041281.5609768473,11191.006046981482,100000.0,0.009999999776482582,3.2617225646972656,0.5
67,165.0425108578472,3821643.896510778,5323.087695803648,100000.0,0.009999999776482582,9.777359008789062,0.75
68,164.83396102766795,1390761.9848091444,13212.02894312342,100000.0,0.009999999776482582,4.596219539642334,0.5
69,162.57996372482793,965324.6415286453,14973.220644499515,100000.0,0.009999999776482582,2.9509968757629395,0.75
70,170.25831045248518,2102161.2027511266,11943.2461876314,100000.0,0.009999999776482582,4.36625862121582,0.5
71,152.2085579885017,44503.15838330807,9242.752230136924,100000.0,0.009999999776482582,1.6363790035247803,1.0
72,159.40476331828947,1459605.668743744,12019.358527547574,100000.0,0.009999999776482582,2.6096465587615967,0.75
73,159.5998236144915,852711.9225759048,16859.4775095907,100000.0,0.009999999776482582,5.2308549880981445,0.75
74,161.31683181472675,532769.3123336603,5737.680973901012,100000.0,0.009999999776482582,3.6602210998535156,1.0
75,167.28632198642404,1849754.813827006,12412.90939802106,100000.0,0.009999999776482582,5.801542282104492,0.5
76,160.56709724094765,1381897.2633899632,7426.402732607596,100000.0,0.009999999776482582,3.7799839973449707,0.75
77,167.17651174425666,2947230.1862990046,8297.056344624802,100000.0,0.009999999776482582,5.875529766082764,0.25
78,163.5088471522047,1776711.3562928792,8307.163187668395,100000.0,0.009999999776482582,5.3931565284729,0.75
79,158.229169524247,907922.5007579343,10137.412307731644,100000.0,0.009999999776482582,9.020503997802734,0.75
80,162.24440159363553,1307296.3074882394,11416.858594722346,100000.0,0.009999999776482582,4.868627071380615,0.75
81,165.96035966331272,1810910.2025860916,14194.006229799848,100000.0,0.009999999776482582,4.327737808227539,0.5
82,163.08256089494265,1925546.1080266642,12980.671852175945,100000.0,0.009999999776482582,4.382900238037109,0.5
83,170.5472320252341,1588320.6652495884,14385.915271652648,100000.0,0.009999999776482582,4.189980506896973,0.75
84,168.35723009057529,1566797.146547599,15596.862258092195,100000.0,0.009999999776482582,4.569326400756836,0.25
85,172.9724466852347,2220551.893768443,14268.682581530074,100000.0,0.009999999776482582,5.010117053985596,0.25
86,165.99392934057562,796688.5334701322,13102.846220929114,100000.0,0.009999999776482582,2.5596280097961426,0.75
87,159.1497893633688,106682.47701112258,16200.39479515202,100000.0,0.009999999776482582,1.89286208152771,1.0
88,160.04256009448216,1583555.5354314316,13770.219988526927,100000.0,0.009999999776482582,2.5112411975860596,0.5
89,167.74663490403728,1477370.2990249149,10547.773640556454,100000.0,0.009999999776482582,4.368498802185059,0.25
90,165.5453477999231,1871031.5679783022,13354.512044194305,100000.0,0.009999999776482582,2.6805663108825684,0.75
91,163.01837144975264,27172.350278911843,10452.039444959039,100000.0,0.009999999776482582,3.660155773162842,1.0
92,167.2383461304027,2960356.4760365933,13071.863288224207,100000.0,0.009999999776482582,6.308022975921631,0.25
93,164.0214771559695,33053.25891407619,15104.270032394286,100000.0,0.009999999776482582,6.212789535522461,1.0
94,163.755397534775,1633737.6164635255,7235.926485814317,100000.0,0.009999999776482582,8.116045951843262,0.75
95,169.56347715340206,1973550.012015014,9535.481554662745,100000.0,0.009999999776482582,4.831594467163086,0.5
96,168.26222918636148,1549701.2464318448,12986.6422749572,100000.0,0.009999999776482582,3.429612398147583,0.5
97,161.4762712365551,1538.0004642783865,13601.840523785211,100000.0,0.009999999776482582,2.8016605377197266,1.0
98,164.94440775062898,1956983.9030873254,10971.636960749016,100000.0,0.009999999776482582,3.955024003982544,0.5
99,169.27806900113768,2364300.823566216,12834.06157253641,100000.0,0.009999999776482582,4.773810386657715,0.5
100,159.39907446277192,1041935.0437817238,17103.784341288687,100000.0,0.009999999776482582,2.144070625305176,0.75
101,153.3533765132756,1.0168059379873677,11418.736123446144,100000.0,0.009999999776482582,1.2203211784362793,1.0
102,150.33281495134233,1606.884395838962,11891.496870345,100000.0,0.009999999776482582,1.2499228715896606,1.0
103,168.9790305962209,2341670.2415794893,10326.939875248161,100000.0,0.009999999776482582,5.269946098327637,0.5
104,166.39847968876614,2080479.1997795785,8521.552797673683,100000.0,0.009999999776482582,3.3519272804260254,0.5
105,166.94218880621506,1519421.0413446664,15535.011507221594,100000.0,0.009999999776482582,4.621331691741943,0.5
106,162.67453737473795,938486.763368334,13276.158142556827,100000.0,0.009999999776482582,5.385159492492676,0.75
107,166.5186665978366,2651679.6239703093,8685.082607706052,100000.0,0.009999999776482582,8.506962776184082,0.25
108,163.97170691135045,360.9867833378397,12911.594590735192,100000.0,0.009999999776482582,4.196802139282227,1.0
109,161.0371655200831,89429.75896576523,12492.642277552506,100000.0,0.009999999776482582,3.409268856048584,1.0
110,164.9696146715103,1954470.5412547386,13862.625468336884,100000.0,0.009999999776482582,7.917232036590576,0.5
111,166.83950488024016,1049575.808350784,14179.738923530362,100000.0,0.009999999776482582,2.7729172706604004,0.75
112,157.05860799849657,166381.160778855,13201.6858308748,100000.0,0.009999999776482582,3.525662660598755,1.0
113,170.05286725822103,2504332.391304144,14193.705826225545,100000.0,0.009999999776482582,5.666713237762451,0.25
114,166.5651383550646,1618624.3504512906,8456.925851503325,100000.0,0.009999999776482582,4.613255023956299,0.5
115,164.34636725590116,2108457.8295608694,12711.606898035156,100000.0,0.009999999776482582,3.1266050338745117,0.5
116,165.2718925030595,2050903.8246637285,12146.919192193842,100000.0,0.009999999776482582,3.9073867797851562,0.5
117,166.34928825091143,963326.0121703706,11549.66182101659,100000.0,0.009999999776482582,6.2680439949035645,0.75
118,166.29399851990732,3902072.0147230118,5653.121802533013,100000.0,0.009999999776482582,12.371508598327637,0.5
119,169.7040863657896,1219529.9734781748,12771.417786300193,100000.0,0.009999999776482582,7.358067035675049,0.75
120,161.99667297603384,1754015.4321859167,15459.30506658606,100000.0,0.009999999776482582,3.558077335357666,0.75
121,171.79613750797338,2396550.4063297943,11675.455742724054,100000.0,0.009999999776482582,4.724184513092041,0.25
122,165.12562595307625,2656878.3633706872,11151.580923753858,100000.0,0.009999999776482582,5.362152099609375,0.5
123,168.43299013215133,1990793.855367174,11208.357134227419,100000.0,0.009999999776482582,4.044445037841797,0.5
124,172.11921322582688,2399143.2976323073,11002.159752446423,100000.0,0.009999999776482582,7.590652942657471,0.25
125,165.4104980930062,882913.0345164216,10272.627978566288,100000.0,0.009999999776482582,3.197542667388916,0.75
126,163.72124546233107,667035.0290613262,11734.689917971402,100000.0,0.009999999776482582,4.656149864196777,0.75
127,168.09318254473976,1881935.72542235,10960.307914303912,100000.0,0.009999999776482582,3.815634250640869,0.5
128,163.3980413699746,1382794.0970208645,15995.74985311912,100000.0,0.009999999776482582,14.615793228149414,0.75
