t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,165.96605336372045,1480954.502060597,10080.397939042748,100000.0,0.009999998845160007,2.335446834564209,0.75
1,160.51543014192967,3969624.7095239935,8918.808997519463,100000.0,0.009999998845160007,3.6917662620544434,0.75
2,163.84140812779756,286168.6939423415,12232.001666168644,100000.0,0.009999998845160007,2.387665033340454,1.0
3,166.7289807599317,1274385.5997138852,12475.44886955537,100000.0,0.009999998845160007,4.0094075202941895,0.5
4,169.2397778392376,1476791.712107478,11670.631412416113,100000.0,0.009999998845160007,3.350036144256592,0.5
5,162.31090795880914,1483730.6225410514,10232.145783820713,100000.0,0.009999998845160007,1.8367655277252197,0.75
6,161.40438325588116,1109644.7575630147,13172.371289455787,100000.0,0.009999998845160007,1.590262532234192,0.75
7,162.5146743977031,1031080.118865457,15364.247235821736,100000.0,0.009999998845160007,2.0692977905273438,0.75
8,155.7845242877197,29614.644310514785,12458.062754290151,100000.0,0.009999998845160007,1.441988468170166,1.0
9,148.3139938033389,90.95223237338858,13210.362910109225,100000.0,0.009999998845160007,0.663468062877655,1.0
10,161.15331319481072,159827.04730875362,14320.07538954685,100000.0,0.009999998845160007,3.3431191444396973,1.0
11,166.37272175300924,1433177.3246850392,13819.398647370266,100000.0,0.009999998845160007,2.268857955932617,0.5
12,158.84888662684685,963798.8286912728,14773.464704844628,100000.0,0.009999998845160007,2.434962749481201,0.75
13,162.7044982438698,2466022.2801869805,15260.007384310067,100000.0,0.009999998845160007,2.1724026203155518,0.5
14,169.5061629284928,1582062.9054981528,13251.934881599678,100000.0,0.009999998845160007,2.847273588180542,0.75
15,162.13733346691455,408364.22880875174,9498.37027798349,100000.0,0.009999998845160007,1.7252180576324463,0.75
16,156.7435751009449,1359514.768978849,12556.154335838535,100000.0,0.009999998845160007,1.6038405895233154,0.75
17,168.86952995530459,2241662.0605752287,12127.658737837624,100000.0,0.009999998845160007,2.8155288696289062,0.25
18,162.81013229592455,1331781.0106172254,13304.526616112586,100000.0,0.009999998845160007,2.29158353805542,0.75
19,162.55990260242507,542352.3058008509,13165.504114052803,100000.0,0.009999998845160007,1.8350499868392944,1.0
20,154.55982751456565,531537.1315498425,11296.481861534294,100000.0,0.009999998845160007,1.5953489542007446,0.75
21,175.52169845219754,2319676.463267503,13775.810411554416,100000.0,0.009999998845160007,3.6409335136413574,0.0
22,166.05096280107486,669041.4861527181,10571.085184065905,100000.0,0.009999998845160007,1.521026372909546,1.0
23,160.0639339356352,1195547.3992005603,13346.83923246642,100000.0,0.009999998845160007,1.9990798234939575,0.75
24,165.7373422637754,1211754.6884730174,14293.37748532194,100000.0,0.009999998845160007,3.673823118209839,0.5
25,156.27304172039644,3.4982349962908628,14306.538762211841,100000.0,0.009999998845160007,0.9171058535575867,1.0
26,159.18152873569284,366159.3418563336,12174.55613761164,100000.0,0.009999998845160007,1.9994289875030518,1.0
27,168.48109895832815,2609038.3972263546,14729.25126827029,100000.0,0.009999998845160007,3.730762481689453,0.25
28,167.9216718550018,1838030.2035671854,12340.171201233605,100000.0,0.009999998845160007,2.6323864459991455,0.25
29,158.16603892457104,903321.5898012979,14425.82400180148,100000.0,0.009999998845160007,1.4103481769561768,0.75
30,153.12243666010775,1.158568895954387e-06,9921.223441995786,100000.0,0.009999998845160007,0.7012802362442017,1.0
