t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,141.90132426279675,111488.43986911826,1326.4553235799078,17300.908558043895,0.009999998845160007,2.1249022483825684,0.25
1,144.5816652484885,258993.1418026023,1511.8345217512253,17490.441315451815,0.009999998845160007,1.8319472074508667,0.75
2,140.13011743874242,250305.70261940113,2094.9531507668444,17175.662660191796,0.009999998845160007,2.424124240875244,0.75
3,147.46114965527158,185303.8679540667,1332.610237114182,17694.055938533013,0.009999998845160007,3.131106376647949,0.75
4,147.7184793782726,220370.5772018131,2539.605853956859,17712.252284529197,0.009999998845160007,3.5980641841888428,0.75
5,149.81583709564921,453841.6164915075,1766.3387984481635,17860.561023442348,0.009999998845160007,5.921093463897705,0.25
6,148.21092685862098,10170.679498129903,1794.914840077165,17747.07431998187,0.009999998845160007,4.439005374908447,1.0
7,152.90749406318227,343872.1393058601,1825.3502581071236,18079.178831080997,0.009999998845160007,6.872132778167725,0.25
8,147.72266253304846,152608.69004128713,2063.639147124947,17712.548084527618,0.009999998845160007,4.708740711212158,0.75
9,151.3052551064673,463618.5704102441,2396.8591208562934,17965.88101967802,0.009999998845160007,4.114046096801758,0.25
10,148.77497255516647,2192.9081638605876,2810.9559158519983,17786.959221470534,0.009999998845160007,2.592776298522949,1.0
11,143.97004825922886,225141.2179717941,2631.1513718666974,17447.192544093723,0.009999998845160007,2.399498224258423,0.75
12,145.16098974299706,105761.14573897826,2634.65941720953,17531.406614070274,0.009999998845160007,4.9023213386535645,0.75
13,150.64226427384222,468613.5310918594,1843.6197507246031,17918.99949179989,0.009999998845160007,2.9981861114501953,0.25
14,143.15488700180367,53297.86832892257,2741.1517680581023,17389.55071356669,0.009999998845160007,1.9304988384246826,1.0
15,151.91273214984307,279939.8410504096,2013.3951346939527,18008.83704643269,0.009999998845160007,3.4467246532440186,0.5
16,145.22523249311055,380808.08429542504,1124.2786375185915,17535.949359055885,0.009999998845160007,1.8541064262390137,0.75
17,135.52756379787616,16913.425255468777,2741.7641104353575,16850.20605324217,0.009999998845160007,2.4396867752075195,1.0
18,145.23830358794865,328031.2916635648,1686.720046754004,17536.873644682317,0.009999998845160007,4.031320571899414,0.5
19,143.5565215378984,321465.8862626804,2522.5886516640626,17417.951167651692,0.009999998845160007,2.8611536026000977,0.5
20,143.77110988334294,310360.23168621474,1820.7644196301962,17433.12517761416,0.009999998845160007,2.3732380867004395,0.5
21,140.84863991386868,142960.3566271824,1786.1298165529377,17226.470951635765,0.009999998845160007,3.3913493156433105,0.75
22,136.91085352613015,145.19265011220116,2806.880640465114,16948.02148713271,0.009999998845160007,1.341675877571106,1.0
23,139.72100321407154,231553.70864662857,1603.8678913836789,17146.733301013017,0.009999998845160007,2.9050252437591553,0.75
24,148.10140981171804,351238.23416889843,1554.7004212387583,17739.33013071883,0.009999998845160007,3.5423429012298584,0.25
25,145.0575744840664,233437.22615782404,1912.8575583384015,17524.09389554386,0.009999998845160007,3.5277349948883057,0.75
26,136.82306319552336,65711.61789414243,2104.588965680756,16941.813641368877,0.009999998845160007,1.6316736936569214,0.75
27,143.742216041859,223313.7974876528,1928.8521858059287,17431.082031060127,0.009999998845160007,2.306121826171875,0.5
28,153.51268543641913,225538.87510391983,1729.0697643876038,18121.973233114688,0.009999998845160007,4.17777156829834,0.5
29,150.32259979374464,339860.9829269915,2115.161558682953,17896.395319166,0.009999998845160007,2.9729347229003906,0.25
30,158.23946404374647,400257.40284593543,1876.411748454753,18456.21405839995,0.009999998845160007,4.169845104217529,0.0
31,147.92979499041388,78375.79355292166,1439.7364600387775,17727.19487238137,0.009999998845160007,5.119372844696045,1.0
32,137.2065103982291,132003.4535692472,2467.298941658402,16968.92802944007,0.009999998845160007,1.8124608993530273,0.75
33,143.02205640882738,198645.8901117269,1223.3581153854104,17380.15797260973,0.009999998845160007,2.399587392807007,0.75
34,141.3193344989386,1414.8019478970527,2788.0344103898015,17259.75479241629,0.009999998845160007,4.388369560241699,1.0
35,131.72534792098452,263246.4612462685,1540.363054376615,16581.343075264966,0.009999998845160007,1.9092636108398438,0.75
36,149.55125587729827,305444.6945896818,1370.6914328191258,17841.851908393146,0.009999998845160007,7.052969455718994,0.5
37,151.8674392532777,214506.97842087003,1685.5867644409707,18005.634286924535,0.009999998845160007,2.9085419178009033,0.5
38,143.00715902169287,100500.52370812149,1637.6277295714772,17379.104545871545,0.009999998845160007,2.1541988849639893,0.75
39,139.8737529934701,168258.31988302004,2679.656231452861,17157.534571089254,0.009999998845160007,2.6751790046691895,0.75
40,149.11415894242333,280908.1997322548,3343.8259598788636,17810.94383074047,0.009999998845160007,3.0512523651123047,0.75
41,154.26932909129332,464849.6975388504,1852.1067445886101,18175.477156327837,0.009999998845160007,4.973720550537109,0.5
42,148.97734326590066,136130.57320696488,1745.8059913975585,17801.269295833757,0.009999998845160007,4.692396640777588,0.75
43,151.2364657378024,484434.086521572,1472.0803548488025,17961.01677337764,0.009999998845160007,9.276601791381836,0.25
44,148.00527245463027,30946.839842410187,2643.553171924155,17732.532048506146,0.009999998845160007,3.693403720855713,1.0
45,147.48000839094863,227065.17897171827,2145.061242391663,17695.38948086706,0.009999998845160007,4.58310604095459,0.5
46,146.30254816681065,343073.8942395122,2044.616060157988,17612.12870016403,0.009999998845160007,2.9863955974578857,0.5
47,134.31708717528602,60284.10937191337,2487.0186588482056,16764.61061098984,0.009999998845160007,1.7015764713287354,1.0
48,142.075895934038,172409.56255476564,1165.21385381388,17313.25290168983,0.009999998845160007,3.6136999130249023,0.75
49,145.53383127961894,340352.96997237107,1773.2238488773894,17557.7710523598,0.009999998845160007,2.9081530570983887,0.5
50,153.69310675419683,302860.41729348176,2174.587924262756,18134.731218026354,0.009999998845160007,11.893850326538086,0.25
51,153.82655180348954,212029.35530947676,2294.482198900052,18144.16740852969,0.009999998845160007,3.7449593544006348,0.25
52,149.44361464615665,549314.1944327358,1633.7109037883363,17834.24036215408,0.009999998845160007,4.778601169586182,0.25
53,153.08461546817387,205567.87389606636,2772.7937612440082,18091.703471961853,0.009999998845160007,4.575961112976074,0.5
54,143.14296564762464,52495.70576287665,2152.5156059824494,17388.707728610054,0.009999998845160007,2.5222997665405273,1.0
55,144.09577859701048,208865.895507956,1997.9023050351805,17456.083210518926,0.009999998845160007,2.061210870742798,0.75
56,145.47529697128957,524514.1671914061,1817.4953180674029,17553.63196374389,0.009999998845160007,3.547196865081787,0.5
57,142.8923551624684,258162.04962109213,1956.3081514636153,17370.98651457775,0.009999998845160007,3.656914710998535,0.5
58,137.32672738122423,443052.53353439085,2093.254496509716,16977.428834522692,0.009999998845160007,2.2210938930511475,0.75
59,137.98100534520552,83.44242622537338,1913.1642982827566,17023.694256454673,0.009999998845160007,2.706170082092285,1.0
60,151.68599896951608,257786.15352849025,1641.4841428923737,17992.804248705594,0.009999998845160007,5.045024871826172,0.75
61,143.9848752078818,310737.4829215438,1905.5457685812653,17448.240989973237,0.009999998845160007,3.3284127712249756,0.5
62,150.16758623588711,196918.31089314146,2386.6711392017655,17885.43397237722,0.009999998845160007,3.6642377376556396,0.75
63,148.27426435885326,252381.7369460684,2259.1853724979414,17751.553052773867,0.009999998845160007,1.8911710977554321,0.75
64,132.02794298590004,23.57743165788902,2517.978866774944,16602.74023231984,0.009999998845160007,2.019202470779419,1.0
65,125.76999368996377,391.3296028554073,1745.9094866532737,16160.226987882153,0.009999998845160007,1.4395173788070679,1.0
66,140.85050015750045,285919.02927630825,934.9638502861468,17226.6024935205,0.009999998845160007,5.5608038902282715,0.75
67,151.45364365360496,349402.0442674537,1997.9211823691887,17976.37389750845,0.009999998845160007,3.298218250274658,0.25
68,143.98767339154276,174059.8764987677,1769.3580998781363,17448.438855643246,0.009999998845160007,3.006812810897827,0.75
69,147.38009991569757,419492.8717369089,1468.138401052438,17688.324734663558,0.009999998845160007,4.373151779174805,0.5
70,147.85092156053346,131030.43034671545,2097.2099908962823,17721.617560117276,0.009999998845160007,3.422173023223877,0.75
71,146.29147538531657,155678.22503480082,1277.3412678204982,17611.34571963284,0.009999998845160007,3.0244264602661133,0.75
72,148.73707269806286,395934.6739885341,1769.0540893998777,17784.279239908275,0.009999998845160007,3.2998900413513184,0.5
73,144.80933199787427,39394.99289446181,2511.307844159878,17506.54012788334,0.009999998845160007,5.1001296043396,1.0
74,146.872636052648,251515.7455781446,1821.8057433899546,17652.44085803663,0.009999998845160007,4.839716911315918,0.5
75,154.21743622136185,334317.205575005,1539.1340799785357,18171.807698307228,0.009999998845160007,6.156268119812012,0.25
76,138.61643824912065,43969.14220155451,3487.9834158488234,17068.627103084887,0.009999998845160007,3.719268798828125,1.0
77,145.03610045647034,254101.56750644222,1616.4182292799505,17522.575420213794,0.009999998845160007,7.864543914794922,0.5
78,146.2894507641599,40543.68495664147,2953.6258957219425,17611.202554254785,0.009999998845160007,4.192956447601318,1.0
79,144.88191228933,158588.28712011848,1613.9954419369385,17511.672438602953,0.009999998845160007,2.965674877166748,0.75
80,141.0252311056342,225058.59810428342,2190.7314064725238,17238.958099982912,0.009999998845160007,2.3247179985046387,0.75
81,147.25923499285943,208364.86093539066,2703.259719558556,17679.778112341362,0.009999998845160007,2.6451990604400635,0.75
82,146.84761914130058,370242.25566127675,1516.4210699052467,17650.671857668836,0.009999998845160007,4.256629467010498,0.5
83,151.50882387096618,217089.01220267374,1391.548370724201,17980.275811036117,0.009999998845160007,3.473222255706787,0.75
84,144.4884184759574,203285.05224519077,2682.2160118864044,17483.847632778023,0.009999998845160007,2.004945755004883,0.75
85,132.61984465941362,4566.26767445556,1682.0485376342438,16644.594890698852,0.009999998845160007,2.2859458923339844,1.0
86,150.90583893006425,400098.26710969355,1451.657388699427,17937.63743064546,0.009999998845160007,12.821465492248535,0.25
87,155.37949398884894,421772.97684147325,2373.351293234762,18253.97933770492,0.009999998845160007,3.9425320625305176,0.5
88,141.9139352820467,231914.05951305394,2108.2113273600307,17301.800310721977,0.009999998845160007,2.6500251293182373,0.5
89,153.28686544415623,581077.0378964964,1854.2983534965547,18106.005008907432,0.009999998845160007,5.855592727661133,0.25
90,146.3671232078295,3382.093761997282,3013.73702155147,17616.694942164348,0.009999998845160007,3.585380792617798,1.0
91,139.19062251549437,323842.1588803978,1655.4525080819158,17109.22892496016,0.009999998845160007,2.3374648094177246,0.75
92,136.05177283827234,252961.98491565918,1562.2895365130655,16887.274017883545,0.009999998845160007,2.2454850673675537,0.75
93,132.43392819992275,253258.9843100429,2268.104645498191,16631.448332330747,0.009999998845160007,1.9226452112197876,0.75
94,156.70013058694403,295506.27844370366,1435.293170208411,18347.364432104085,0.009999998845160007,9.724778175354004,0.25
95,142.90659469768963,219586.7806244205,2007.5823583550637,17371.99342317225,0.009999998845160007,3.7402098178863525,0.75
96,150.62119734938193,358742.34547120833,1415.046686960072,17917.50980362052,0.009999998845160007,5.361763000488281,0.5
97,154.65311398644005,401971.9337649143,1335.553333402872,18202.6154233681,0.009999998845160007,5.634280204772949,0.25
