t,x,g_raw,g_ratio,alpha,gamma,loss,acc
0,166.16453059236943,968262.7739225604,14043.221527723555,100000.0,0.009999998845160007,2.1019670963287354,0.75
1,169.68009486567325,1074983.338106898,14956.718183652927,100000.0,0.009999998845160007,2.6601243019104004,0.5
2,169.1669356247881,1257549.327348302,13992.446341843359,100000.0,0.009999998845160007,2.332149028778076,0.75
3,167.19718359007226,1055342.1825163616,12959.580196024153,100000.0,0.009999998845160007,2.469069480895996,0.5
4,158.35886716046085,1384146.136751407,8737.525239254894,100000.0,0.009999998845160007,2.3845748901367188,0.75
5,160.74519044687602,2144892.139768135,9287.48095922571,100000.0,0.009999998845160007,4.67875862121582,0.5
6,161.83297388529252,3018045.841559498,5937.853997993362,100000.0,0.009999998845160007,10.064802169799805,0.75
7,165.4546334837972,1278023.8196535471,10688.095704647754,100000.0,0.009999998845160007,3.893960475921631,0.75
8,163.93017540647162,1997011.9065362462,13918.116241987771,100000.0,0.009999998845160007,5.211665153503418,0.75
9,166.81527015175004,560139.5632528753,15545.265106699908,100000.0,0.009999998845160007,2.6497750282287598,0.75
10,169.2803434356828,3252836.7523181243,11108.379598983009,100000.0,0.009999998845160007,2.89497709274292,0.5
11,165.7790111422929,1639495.9439068777,8719.746357107819,100000.0,0.009999998845160007,7.756083965301514,0.5
12,161.0196832975553,265303.5682989048,12897.775209760144,100000.0,0.009999998845160007,2.264923095703125,1.0
13,154.73790279705483,1672286.3890740501,9041.378992109981,100000.0,0.009999998845160007,2.61869215965271,0.75
14,162.3103237732849,868380.0422960263,15410.959310731581,100000.0,0.009999998845160007,2.8632915019989014,0.75
15,170.5771429491894,2015207.0411721433,11763.697986625864,100000.0,0.009999998845160007,3.328249454498291,0.25
16,168.54747498862466,1087045.3164290795,12179.451995157291,100000.0,0.009999998845160007,3.3879456520080566,0.75
17,164.09019704895977,958337.5575624056,13064.158397488101,100000.0,0.009999998845160007,2.812506675720215,0.5
18,167.40055818674753,1475260.2516665393,9075.064622404107,100000.0,0.009999998845160007,2.945807933807373,0.5
19,165.2962569674048,793189.5906307609,10753.310553163603,100000.0,0.009999998845160007,3.2373127937316895,0.75
20,160.91206704716691,971134.9663521623,12710.341760375777,100000.0,0.009999998845160007,2.434621810913086,0.75
21,165.36250243439352,1007319.8239315009,12118.244447631978,100000.0,0.009999998845160007,1.6072583198547363,0.75
22,162.06342929415686,1265301.2368487539,15412.142693605136,100000.0,0.009999998845160007,2.2210354804992676,0.75
23,168.0215423323857,2819299.165774752,11005.68849355191,100000.0,0.009999998845160007,4.861336708068848,0.25
24,163.78039661707197,1712.250055837448,10063.471803072554,100000.0,0.009999998845160007,1.880125641822815,1.0
25,164.1266033121714,1010146.7723434097,10726.618822550978,100000.0,0.009999998845160007,2.4627585411071777,0.75
26,160.79956854329714,1455576.300110899,9422.381423198773,100000.0,0.009999998845160007,4.330165386199951,0.5
27,152.22482864617527,69567.15844950014,13177.852700583566,100000.0,0.009999998845160007,1.7407187223434448,1.0
28,166.2696257797218,1466500.4208317825,11210.779740269478,100000.0,0.009999998845160007,4.09373140335083,0.5
29,156.56390782416187,2736.3519644785333,10697.659310498793,100000.0,0.009999998845160007,2.2193384170532227,1.0
30,168.3654961564105,1246287.8124684915,12625.698912108985,100000.0,0.009999998845160007,5.801873207092285,0.75
31,165.27649460685507,1059364.4807191524,10387.395566220213,100000.0,0.009999998845160007,2.64852237701416,0.75
32,159.15719465621973,921565.8544221756,13655.125751816362,100000.0,0.009999998845160007,1.8563930988311768,0.75
33,169.5740044403462,1420175.2711515282,14607.160578913756,100000.0,0.009999998845160007,5.37456750869751,0.5
34,160.7324643648674,2800932.3078604294,9079.44995287246,100000.0,0.009999998845160007,4.415399551391602,0.75
35,167.5370464620789,1387387.2140956882,10631.563820096466,100000.0,0.009999998845160007,6.427311897277832,0.5
36,169.76789893239402,1252763.6036594813,14131.321840643965,100000.0,0.009999998845160007,3.9358530044555664,0.5
37,161.9752431493881,1819769.9236039645,9961.00909464391,100000.0,0.009999998845160007,4.073594093322754,0.5
38,166.78260713789544,784701.7974776063,12375.455646715092,100000.0,0.009999998845160007,2.807095527648926,0.75
39,161.47021295219926,1562343.6639341626,14191.972840551234,100000.0,0.009999998845160007,2.7222957611083984,0.5
40,165.26203105806024,1199868.445543888,13319.645830477957,100000.0,0.009999998845160007,2.2084708213806152,0.75
41,170.6244832810064,1502446.5010801118,11766.20591879712,100000.0,0.009999998845160007,6.4304304122924805,0.5
42,170.3455102411795,1594167.3030840587,8458.29566525869,100000.0,0.009999998845160007,3.8747780323028564,0.25
43,169.04145920756577,2977650.8194290306,8006.302370650944,100000.0,0.009999998845160007,9.039424896240234,0.5
44,164.49282349762706,918070.9502039268,17953.67672341735,100000.0,0.009999998845160007,2.5457353591918945,0.75
45,168.46391486675324,1167481.4676346746,14068.955766093255,100000.0,0.009999998845160007,3.338552474975586,0.75
46,168.71794590331817,2410709.705949319,11955.45904132299,100000.0,0.009999998845160007,6.109857559204102,0.5
