row_type,task,activation,runs,successful,failed,nonfinite,recall_token_accuracy_mean,recall_token_accuracy_ci95,exact_sequence_accuracy_mean,exact_sequence_accuracy_ci95,output_feature_rms_mean,output_feature_rms_ci95,output_feature_max_abs_mean,output_feature_max_abs_ci95,output_feature_abs_ge_0.99_fraction_mean,output_feature_abs_ge_0.99_fraction_ci95,tanh_saturation_fraction_mean,learning_auc_mean,learning_auc_ci95,threshold_0.75_successes,threshold_0.75_mean_batch,threshold_0.90_successes,threshold_0.90_mean_batch,trunk.0_fast_update_norm_mean,trunk.0_slow_update_norm_mean,trunk.0_fast_weight_norm_mean,trunk.0_slow_weight_norm_mean,trunk.1_fast_update_norm_mean,trunk.1_slow_update_norm_mean,trunk.1_fast_weight_norm_mean,trunk.1_slow_weight_norm_mean,i2h_fast_update_norm_mean,i2h_slow_update_norm_mean,i2h_fast_weight_norm_mean,i2h_slow_weight_norm_mean,i2o_fast_update_norm_mean,i2o_slow_update_norm_mean,i2o_fast_weight_norm_mean,i2o_slow_weight_norm_mean,comparison,metric,paired_seeds,seed_ids,differences,mean_difference,ci95,identity_wins,ties,tanh_wins
arm,repeated_copy,identity,12,12,0,0,0.22086588541666666,"[0.18855112104604532, 0.253180649787288]",0.0032552083333333335,"[-6.341903237313531e-05, 0.006573835699039802]",0.25038052943690403,"[0.23311872736969982, 0.26764233150410827]",4.045571029186249,"[3.691710836083797, 4.3994312222887]",0.01539248511904762,"[0.013323717062318717, 0.01746125317577652]",,0.18852091471354165,"[0.15035240199388056, 0.22668942743320275]",0,,0,,225291.08624267578,4.401833061749737,20.412333959092695,17.283408579727013,269960.0565694173,5.466584236671527,32.14264011569321,17.305628600219887,360834.1567077637,7.392899100668728,30.260408759117126,16.59434058268865,0.0,6.06857536546886,0.0,5.660151369869709,,,,,,,,,,
arm,repeated_copy,tanh,12,12,0,0,0.21809895833333334,"[0.18295399847600602, 0.25324391819066067]",0.0026041666666666665,"[-0.0006289881267549573, 0.00583732146008829]",0.16920984813006065,"[0.1602283911029509, 0.1781913051571704]",0.9990583459536234,"[0.9984558829510181, 0.9996608089562288]",0.0009044828869047619,"[0.0006690253622142745, 0.0011399404115952495]",0.0009044828869047619,0.18615614149305557,"[0.14558049476370788, 0.22673178822240325]",0,,0,,225258.6147664388,4.401913810831805,20.414791326969862,17.283382664124172,270056.659576416,5.466927086003125,32.17368847876787,17.30567732701699,361526.5942738851,7.408475327771157,30.293102527658146,16.594457656145096,0.0,4.309731598012149,0.0,5.670947370429833,,,,,,,,,,
arm,palindrome2,identity,12,12,0,0,0.16731770833333334,"[0.10011923678239776, 0.23451617988426893]",0.03515625,"[0.008762366112001395, 0.061550133887998605]",0.10097590296888784,"[0.0891534667982776, 0.11279833913949808]",2.1611520747343698,"[1.8219324681093942, 2.5003716813593453]",0.0019531249999999998,"[0.0010894138783339245, 0.0028168361216660753]",,0.1739865451388889,"[0.10630325856413589, 0.2416698317136419]",0,,0,,217538.62119547525,4.4039378588398295,16.861072810987633,17.28079575796922,200163.72076416016,4.0588629351307945,20.081794173767168,17.305041035016377,146394.59147135416,2.931843300970892,15.17994723469019,16.58721301952998,0.0,2.4215617358374097,0.0,5.678596879045169,,,,,,,,,,
arm,palindrome2,tanh,12,12,0,0,0.17252604166666666,"[0.1079712895144407, 0.23708079381889263]",0.03515625,"[0.008762366112001395, 0.061550133887998605]",0.08407496417470343,"[0.07728036526912382, 0.09086956308028304]",0.9577736854553223,"[0.9260798399137279, 0.9894675309969166]",3.952752976190476e-05,"[-1.5222872956382864e-05, 9.427793248019238e-05]",3.952752976190476e-05,0.17465033637152777,"[0.10840340377871967, 0.2408972689643359]",0,,0,,217589.1822306315,4.404331653068463,16.861635995407898,17.28079294661681,200235.8664754232,4.060428687992196,20.08356987933318,17.305034806330998,146736.20061238608,2.938564114893476,15.184555220107237,16.587219064434368,0.0,2.146184300382932,0.0,5.679008848965168,,,,,,,,,,
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,recall_token_accuracy,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.001953125, -0.021484375, 0.005859375, 0.005859375, 0.009765625, 0.001953125, 0.021484375, -0.001953125, -0.0078125, 0.001953125, 0.005859375, 0.009765625]",0.0027669270833333335,"[-0.0038729637459123055, 0.009406817912578972]",9,0,3
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,exact_sequence_accuracy,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0, 0.0, 0.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0078125, 0.0, 0.0078125]",0.0006510416666666666,"[-0.0019049916271092113, 0.0032070749604425444]",2,9,1
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_rms,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.04932488519651551, 0.09480491814318576, 0.07941416267693852, 0.08545998142490671, 0.0670534261927205, 0.0865069446570308, 0.08539123281030248, 0.08504358765413728, 0.0839151962995644, 0.08564292286233816, 0.06964512158998687, 0.10184579617449338]",0.08117068130684336,"[0.07245477043929736, 0.08988659217438937]",12,0,0
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_max_abs,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[2.6812111139297485, 3.616042733192444, 2.6485987305641174, 2.8895049691200256, 2.4470338821411133, 3.973983108997345, 3.339142680168152, 3.851457357406616, 2.7672054171562195, 3.025311052799225, 2.1958008408546448, 3.122860312461853]",3.0465126832326255,"[2.6931696125364315, 3.3998557539288194]",12,0,0
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_abs_ge_0.99_fraction,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.007770647321428571, 0.017368861607142856, 0.015973772321428572, 0.01337890625, 0.012458147321428572, 0.015987723214285716, 0.013044084821428572, 0.013169642857142857, 0.014243861607142857, 0.01708984375, 0.013685825892857143, 0.01968470982142857]",0.014488002232142857,"[0.012557671332684645, 0.01641833313160107]",12,0,0
paired,repeated_copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,learning_auc,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.01255696614583332, -0.014829101562500002, 0.011124674479166652, 0.008330078125000001, 0.006500651041666666, 0.0031217447916666863, 0.016912434895833328, -0.01118815104166665, 0.0032535807291666496, -0.006505533854166676, 0.0038444010416666674, -0.00474446614583332]",0.0023647732204861104,"[-0.0038636256976522228, 0.008593172138624443]",8,0,4
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,recall_token_accuracy,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0, 0.0, 0.0, -0.02734375, -0.03515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.005208333333333333,"[-0.013009171787972843, 0.002592505121306178]",0,10,2
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,exact_sequence_accuracy,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0]",0,12,0
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_rms,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.009417308572029034, 0.011796941648923545, 0.010924170175612868, 0.010685586305538272, 0.025274840093192294, 0.02540570132171724, 0.024976961742575285, 0.005994068241652217, 0.00982780322880221, 0.012621329860542763, 0.028479080437632753, 0.027407473901994467]",0.016900938794184413,"[0.011496598530293278, 0.02230527905807555]",12,0,0
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_max_abs,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1.0595700144767761, 0.8340516686439514, 1.0517058968544006, 2.0300450325012207, 1.7789947390556335, 1.4313021898269653, 0.8572244048118591, 0.31712090969085693, 0.8936238288879395, 1.0429666638374329, 1.323098599910736, 1.8208367228507996]",1.2033783892790477,"[0.8903879605453453, 1.5163688180127501]",12,0,0
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,output_feature_abs_ge_0.99_fraction,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0005022321428571428, 0.0017299107142857142, 0.0010323660714285714, 0.0008091517857142857, 0.002176339285714286, 0.003208705357142857, 0.003487723214285714, 0.00027901785714285713, 0.0012834821428571429, 0.0010323660714285714, 0.004547991071428571, 0.0028738839285714283]",0.0019135974702380952,"[0.001057847002343747, 0.0027693479381324434]",12,0,0
paired,palindrome2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,identity_minus_tanh,learning_auc,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[0.0, -0.001041666666666663, 0.0, -0.0006542968749999878, -0.013281250000000001, -0.007812499999999972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014824218750000007]",-0.0006637912326388848,"[-0.0047430251369168265, 0.0034154426716390567]",1,7,4
